ОТДЕЛЕНИЕ;USD пок;USD прод;EUR пок;EUR прод;RUB пок;RUB прод
  Беларусбанк г. Минск, ул. Матусевича, 76  15:25;2.030;2.062;2.240;2.292;3.050;3.200
  Беларусбанк г. Минск, ул. Одинцова, 9  15:25;2.030;2.062;2.240;2.292;3.050;3.200
  Беларусбанк г. Минск, ул. Кунцевщина, 13  15:25;2.030;2.062;2.240;2.292;3.050;3.200
  Беларусбанк г. Минск, ул. Неманская, 35  15:25;2.030;2.062;2.240;2.292;3.050;3.200
  Беларусбанк г. Минск, ул. Жилуновича, 26  15:25;2.024;2.062;2.230;2.290;3.020;3.200
  Беларусбанк г. Минск, ул. Уральская, 16  15:25;2.024;2.062;2.230;2.290;3.020;3.200
  Беларусбанк г. Минск, ул. Алтайская, 64/1  15:25;2.024;2.062;2.230;2.290;3.020;3.200
  Беларусбанк г. Минск, ул. Солтыса, 54  15:25;2.024;2.062;2.230;2.290;3.020;3.200
  Беларусбанк г. Минск, ул. Ванеева, 18  15:25;2.024;2.062;2.230;2.290;3.020;3.200
  Беларусбанк г. Минск, ул. Уборевича, 72  15:25;2.024;2.062;2.230;2.290;3.020;3.200
  Беларусбанк г. Минск, пр. Партизанский, 110  15:25;2.024;2.062;2.230;2.290;3.020;3.200
  Беларусбанк г. Минск, ул. Голодеда, 61  15:22;2.024;2.062;2.230;2.290;3.020;3.200
  Беларусбанк г. Минск, ул. Уборевича, 26  15:25;2.024;2.062;2.230;2.290;3.020;3.200
  Беларусбанк г. Минск, ул. Голодеда, 31  15:25;2.024;2.062;2.230;2.290;3.020;3.200
  Беларусбанк г. Минск, пр. Партизанский, 147  15:25;2.024;2.062;2.230;2.290;3.020;3.200
  Беларусбанк г. Минск, пр. Рокоссовского, 114  15:25;2.024;2.062;2.230;2.290;3.020;3.200
  Беларусбанк г. Минск, ул. Жилуновича, 12  15:25;2.024;2.062;2.230;2.290;3.020;3.200
  Беларусбанк г. Минск, пр. Партизанский, 23а  15:25;2.024;2.062;2.230;2.290;3.020;3.200
  Беларусбанк г. Минск, 2-ой пер. Багратиона, 20  15:25;2.024;2.062;2.230;2.290;3.020;3.200
  Беларусбанк г. Минск, ул. Долгобродская, 4  15:25;2.024;2.062;2.230;2.290;3.020;3.200
  Беларусбанк г. Минск, ул. Шишкина, 26  15:25;2.024;2.062;2.230;2.290;3.020;3.200
  Беларусбанк г. Минск, ул. Красина, 25  15:17;2.024;2.062;2.230;2.290;3.020;3.200
  Беларусбанк г. Минск, ул. Плеханова, 42  15:25;2.024;2.062;2.230;2.290;3.020;3.200
  Беларусбанк г. Минск, ул. Плеханова, 72  15:13;2.024;2.062;2.230;2.290;3.020;3.200
  Беларусбанк г. Минск, ул. Нестерова, 51  15:25;2.024;2.062;2.230;2.290;3.020;3.200
  Беларусбанк г. Минск, ул. Охотская, 135/3  15:25;2.024;2.062;2.230;2.290;3.020;3.200
  Беларусбанк г. Минск, ул. О.кошевого, 18  15:25;2.024;2.062;2.230;2.290;3.020;3.200
  Беларусбанк г. Минск, ул. Слесарная, 4  15:25;2.024;2.062;2.230;2.290;3.020;3.200
  Беларусбанк г. Минск, пр. Рокоссовского, 1  15:25;2.024;2.062;2.230;2.290;3.020;3.200
  Беларусбанк г. Минск, пр. Партизанский, 26  15:25;2.024;2.062;2.230;2.290;3.020;3.200
  Беларусбанк г. Минск, пр. Рокоссовского, 33  15:25;2.024;2.062;2.230;2.290;3.020;3.200
  Беларусбанк г. Минск, ул. Игуменский тракт, 42  15:25;2.024;2.062;2.230;2.290;3.020;3.200
  Беларусбанк г. Минск, ул. Игуменский тракт, 20  15:25;2.024;2.062;2.230;2.290;3.020;3.200
  Беларусбанк г. Минск, ул. Шпилевского, 54  15:25;2.024;2.062;2.230;2.290;3.020;3.200
  Беларусбанк г. Минск, ул. Бачило, 32  15:25;2.024;2.062;2.230;2.290;3.020;3.200
  Беларусбанк г. Минск, ул. Селицкого, 71  15:25;2.024;2.062;2.230;2.290;3.020;3.200
  Беларусбанк г. Минск, ул. Ангарская, 40  15:13;2.024;2.062;2.230;2.290;3.020;3.200
  Беларусбанк г. Минск, ул. Фабричная, 23  15:22;2.024;2.062;2.230;2.290;3.020;3.200
  Беларусбанк г. Минск, пр. Независимости, 43  15:25;2.025;2.063;2.230;2.292;3.020;3.200
  Беларусбанк г. Минск, ул. Л.беды, 19  15:25;2.025;2.063;2.230;2.292;3.020;3.200
  Беларусбанк г. Минск, ул. Логойский тракт, 1/1  15:22;2.025;2.063;2.230;2.292;3.020;3.200
  Беларусбанк г. Минск, ул. Логойский тракт, 27  15:13;2.025;2.063;2.230;2.292;3.020;3.200
  Беларусбанк г. Минск, ул. Я.коласа, 47, корп.1  15:13;2.025;2.063;2.230;2.292;3.020;3.200
  Беларусбанк г. Минск, ул. М.богдановича, 78  15:25;2.025;2.063;2.230;2.292;3.020;3.200
  Беларусбанк г. Минск, пр. Машерова, 16  15:25;2.025;2.063;2.230;2.292;3.020;3.200
  Беларусбанк г. Минск, ул. В.хоружей, 24/1  15:25;2.025;2.063;2.230;2.292;3.020;3.200
  Беларусбанк г. Минск, ул. Мирошниченко, 1, корп.1  15:25;2.025;2.063;2.230;2.292;3.020;3.200
  Беларусбанк г. Минск, пр. Машерова, 42  15:25;2.025;2.063;2.230;2.292;3.020;3.200
  Беларусбанк г. Минск, ул. Гамарника, 16, корп.1  15:25;2.025;2.063;2.230;2.292;3.020;3.200
  Беларусбанк г. Минск, пр. Независимости, 44  15:13;2.025;2.063;2.230;2.292;3.020;3.200
  Беларусбанк г. Минск, ул. Куйбышева, 75  15:13;2.025;2.063;2.230;2.292;3.020;3.200
  Беларусбанк г. Минск, Территория национального аэропорта «минск»  15:25;2.025;2.063;2.230;2.292;3.020;3.200
  Беларусбанк г. Минск, ул. Ивановская, 39  15:25;2.025;2.063;2.230;2.292;3.020;3.200
  Беларусбанк г. Минск, пр. Независимости, 169  15:25;2.025;2.063;2.230;2.292;3.020;3.200
  Беларусбанк г. Минск, пр. Независимости, 117  15:25;2.025;2.063;2.230;2.292;3.020;3.200
